sample_id,sample_dir,exists,has_sequences,shape_sequences,dtype_sequences,has_dssp_labels,shape_dssp_labels,dtype_dssp_labels,has_dynamic_features,shape_dynamic_features,dtype_dynamic_features,has_contact_maps,shape_contact_maps,dtype_contact_maps,has_contact_features,shape_contact_features,dtype_contact_features,has_residue_features,shape_residue_features,dtype_residue_features,has_seq_masks,shape_seq_masks,dtype_seq_masks,has_y_masks,shape_y_masks,dtype_y_masks,has_sequence_times_ps,length,ready,sample_id_int,split
10,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/10,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,10,train
11,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/11,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,11,train
12,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/12,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,12,train
13,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/13,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,13,train
14,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/14,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,14,train
15,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/15,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,15,train
16,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/16,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,16,train
17,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/17,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,17,test
18,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/18,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,18,train
19,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/19,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,19,train
20,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/20,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,20,train
21,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/21,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,21,train
22,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/22,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,22,train
23,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/23,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,23,train
24,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/24,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,24,train
25,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/25,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,25,train
26,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/26,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,26,train
27,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/27,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,27,train
28,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/28,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,28,train
29,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/29,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,29,train
30,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/30,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,30,train
31,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/31,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,31,test
32,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/32,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,32,train
33,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/33,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,33,train
34,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/34,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,34,test
35,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/35,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,35,test
36,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/36,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,36,train
37,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/37,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,37,train
38,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/38,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,38,train
39,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/39,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,39,train
40,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/40,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,40,train
41,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/41,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,41,test
42,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/42,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,42,test
43,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/43,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,43,train
44,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/44,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,44,test
45,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/45,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,45,train
46,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/46,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,46,test
47,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/47,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,47,train
48,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/48,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,48,train
49,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/49,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,49,train
50,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/50,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,50,train
51,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/51,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,51,train
52,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/52,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,52,train
53,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/53,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,53,train
54,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/54,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,54,test
55,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/55,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,55,train
56,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/56,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,56,train
57,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/57,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,57,test
58,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/58,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,58,train
59,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/59,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,59,test
60,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/60,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,60,train
61,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/61,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,61,train
62,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/62,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,62,train
63,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/63,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,63,train
64,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/64,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,64,train
65,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/65,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,65,train
66,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/66,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,66,train
67,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/67,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,67,train
68,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/68,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,68,train
69,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/69,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,69,train
70,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/70,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,70,train
71,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/71,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,71,train
72,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/72,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,72,test
73,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/73,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,73,train
74,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/74,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,74,train
75,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/75,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,75,train
76,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/76,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,76,train
77,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/77,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,77,train
78,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/78,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,78,train
79,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/79,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,79,train
